HHNR	ZPERS	AUSB	EINK	AUTOS	ZGDE
52000450800	1	0	7	0	52
52000456400	3	0	9	1	52
52000460100	2	0	5	1	52
52000462600	5	0	9	1	52
52000462601	1	0	7	1	2771
53000016900	2	0	5	1	53
53000046300	1	0	9	0	53
53000047800	4	0	13	2	53
53000084000	1	0	5	1	53
53000101900	1	0	9	1	53
53000137200	1	0	9	1	53
53000160500	4	0	7	0	53
53000162701	8	0	13	1	55
53000175700	1	0	5	0	53
53000189900	2	0	11	2	53
53000203600	3	0	7	2	53
53000206600	1	0	5	1	53
53000221400	1	0	13	1	53
53000223800	2	0	13	1	53
53000241500	6	0	9	2	53
53000267100	1	0	5	0	53
53000267900	4	0	9	2	53
53000269200	6	0	13	2	53
53000278400	2	0	9	1	53
53000293500	1	0	7	0	53
53000316800	3	0	13	2	53
53000317400	1	0	7	0	53
53000329700	1	0	13	3	53
53000331700	1	0	9	1	53
53000334900	1	0	19	3	53
53000341600	1	0	9	2	53
53000343400	1	0	7	1	53
53000343500	1	0	5	0	53
53000344700	4	0	7	2	53
53000348100	1	0	13	1	53
53000353200	5	0	17	1	53
53000368500	5	0	7	3	53
53000368501	1	0	5	3	1373
53000374500	2	0	7	1	53
53000376200	1	0	7	1	53
53000386200	1	0	11	1	53
53000392700	3	0	9	2	53
53000394900	2	0	11	1	53
53000402800	2	0	19	1	53
53000403500	3	0	9	2	53
53000404600	3	0	13	3	53
53000422400	2	0	13	1	53
53000443000	5	0	9	1	53
53000462100	1	0	13	1	53
53000463100	1	0	19	1	53
53000477400	1	0	7	1	53
53000490800	3	0	19	0	53
53000506200	2	0	7	2	53
53000513500	3	0	15	2	53
53000527100	4	0	9	1	53
53000599500	5	0	11	3	53
53000601000	2	0	11	2	53
53000607800	1	0	19	3	53
53000624600	3	0	13	1	53
53000631100	5	0	11	2	53
53000631800	7	0	11	3	53
53000637100	5	0	13	0	51
53000644100	5	0	9	2	53
53000650500	3	0	7	3	53
53000693600	9	0	7	1	53
53000707400	6	0	9	2	53
53000733900	1	0	5	1	53
53000748700	3	0	13	1	53
53000752900	1	0	7	1	53
53000758800	2	0	7	0	53
53000761100	2	0	9	2	53
54000008000	2	0	5	2	54
54000027600	1	0	13	0	54
54000029900	2	0	9	2	54
54000034500	1	0	3	0	54
54000036500	2	0	7	1	54
54000052100	1	0	13	3	54
54000065500	2	0	5	1	54
54000066500	2	0	7	1	54
54000106900	2	0	7	1	54
54000173900	1	0	5	0	54
54000175100	1	0	9	0	54
54000176700	3	0	9	2	54
54000180500	2	0	19	2	54
